119.255.16.122 - - [17/Dec/2013:10:00:12 +0100] "GET / HTTP/1.0" 404 951
61.132.138.215 - - [17/Dec/2013:10:20:32 +0100] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [17/Dec/2013:10:34:19 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:21 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:26 +0100] "GET /Grasshopper/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:26 +0100] "GET /Grasshopper/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:26 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:46 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:46 +0100] "GET /Grasshopper/invalidLogin.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:47 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 200 12612
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:47 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:47 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:47 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:47 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/images/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/images/arrows-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:48 +0100] "GET /Grasshopper/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:58 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:34:58 +0100] "GET /Grasshopper/invalidLogin.jsp HTTP/1.1" 200 4487
